iter	Passed	Remaining
455	848	1012
456	850	1010
457	851	1007
458	852	1004
459	853	1002
460	855	999
461	856	996
462	857	994
463	858	991
464	859	989
465	861	987
466	862	984
467	863	981
468	864	979
469	866	976
470	867	974
471	868	971
472	869	969
473	871	966
474	872	964
475	873	961
476	874	959
477	876	956
478	878	955
479	879	952
480	880	950
481	881	947
482	882	945
483	884	942
484	885	939
485	886	937
486	887	934
487	888	932
488	889	929
489	890	927
490	892	924
491	893	922
492	894	919
493	895	917
494	896	914
495	897	912
496	898	909
497	899	907
498	901	904
499	902	902
500	903	899
501	904	897
502	905	894
503	906	892
504	907	889
505	908	887
506	910	885
507	912	883
508	913	881
509	914	878
510	915	876
511	916	873
512	918	871
513	919	869
514	920	866
515	921	864
516	922	861
517	923	859
518	924	857
519	926	854
520	927	852
521	928	850
522	931	849
523	932	847
524	934	845
525	935	842
526	936	840
527	937	837
528	938	835
529	939	833
530	940	830
531	941	828
532	943	826
533	944	824
534	945	821
535	946	819
536	947	817
537	948	814
538	949	812
539	950	810
540	952	807
541	953	805
542	954	803
543	955	800
544	956	798
545	957	796
546	958	793
547	959	791
548	961	789
549	962	787
550	963	785
551	964	782
552	966	780
553	967	778
554	968	776
555	970	775
556	971	772
557	972	770
558	974	768
559	975	766
560	976	764
561	978	762
562	979	760
563	980	758
564	982	756
565	983	754
566	984	752
567	986	750
568	987	747
569	988	745
570	990	743
571	991	741
572	992	739
573	993	737
574	994	735
575	996	733
576	998	732
577	999	729
578	1000	727
579	1002	725
580	1003	723
581	1004	721
582	1006	719
583	1007	717
584	1009	716
585	1010	714
586	1012	712
587	1013	710
588	1015	708
589	1016	706
590	1018	704
591	1019	702
592	1020	700
593	1022	698
594	1023	696
595	1024	694
596	1025	692
597	1027	690
598	1028	688
599	1029	686
600	1030	684
601	1031	682
602	1038	684
603	1043	684
604	1048	684
605	1057	687
606	1061	687
607	1065	686
608	1068	686
609	1071	684
610	1074	683
611	1076	682
612	1078	681
613	1080	679
614	1082	677
615	1084	676
616	1086	674
617	1087	672
618	1089	670
619	1091	668
620	1092	666
621	1093	664
622	1095	662
623	1096	660
624	1098	658
625	1099	657
626	1101	655
627	1102	653
628	1104	651
629	1105	649
630	1106	647
631	1107	645
632	1108	642
633	1110	640
634	1111	638
635	1112	636
636	1113	634
637	1114	632
638	1115	630
639	1116	628
640	1118	626
641	1119	624
642	1120	621
643	1121	619
644	1122	617
645	1123	615
646	1124	613
647	1125	611
648	1126	609
649	1127	607
650	1129	605
651	1130	603
652	1131	601
653	1132	599
654	1133	597
655	1134	595
656	1135	593
657	1136	590
658	1138	588
659	1139	586
660	1140	584
661	1141	582
662	1142	580
663	1143	578
664	1144	576
665	1145	574
666	1146	572
667	1148	570
668	1149	568
669	1150	566
670	1151	564
671	1152	562
672	1153	560
673	1155	558
674	1156	556
675	1157	554
676	1158	552
677	1159	550
678	1160	548
679	1161	546
680	1162	544
681	1164	542
682	1165	540
683	1166	538
684	1167	536
685	1168	534
686	1169	532
687	1170	530
688	1172	529
689	1173	527
690	1174	525
691	1175	523
692	1176	521
693	1177	519
694	1178	517
695	1180	515
696	1181	513
697	1182	511
698	1183	509
699	1184	507
700	1185	505
701	1187	504
702	1189	502
703	1190	500
704	1191	498
705	1193	496
706	1194	495
707	1196	493
708	1197	491
709	1199	489
710	1200	488
711	1202	486
712	1203	484
713	1205	482
714	1206	480
715	1208	479
716	1209	477
717	1210	475
718	1212	473
719	1213	471
720	1214	470
721	1215	468
722	1217	466
723	1218	464
724	1219	462
725	1221	460
726	1222	459
727	1272	475
728	1284	477
729	1292	477
730	1296	477
731	1311	480
732	1319	480
733	1320	478
734	1322	476
735	1324	475
736	1326	473
737	1327	471
738	1329	469
739	1330	467
740	1332	465
741	1334	463
742	1335	462
743	1336	460
744	1338	458
745	1339	456
746	1341	454
747	1342	452
748	1343	450
749	1345	448
750	1346	446
751	1348	444
752	1349	442
753	1350	440
754	1352	438
755	1353	436
756	1355	435
757	1356	433
758	1357	431
759	1359	429
760	1360	427
761	1362	425
762	1363	423
763	1365	421
764	1367	419
765	1368	418
766	1370	416
767	1371	414
768	1373	412
769	1374	410
770	1376	408
771	1377	406
772	1378	404
773	1379	402
774	1380	400
775	1382	398
776	1383	397
777	1384	395
778	1386	393
779	1387	391
780	1388	389
781	1390	387
782	1391	385
783	1393	383
784	1394	381
785	1395	380
786	1397	378
787	1399	376
788	1400	374
789	1401	372
790	1403	370
791	1404	368
792	1405	366
793	1406	364
794	1407	362
795	1408	361
796	1410	359
797	1411	357
798	1412	355
799	1413	353
800	1414	351
801	1415	349
802	1417	347
803	1419	345
804	1420	344
805	1421	342
806	1426	341
807	1428	339
808	1429	337
809	1430	335
810	1431	333
811	1433	331
812	1434	329
813	1435	328
814	1436	326
815	1439	324
816	1440	322
817	1441	320
818	1442	318
819	1443	316
820	1444	315
821	1446	313
822	1447	311
823	1448	309
824	1450	307
825	1453	306
826	1457	304
827	1463	304
828	1470	303
829	1480	303
830	1487	302
831	1490	300
832	1493	299
833	1497	298
834	1499	296
835	1502	294
836	1504	292
837	1506	291
838	1508	289
839	1509	287
840	1511	285
841	1513	283
842	1514	282
843	1516	280
844	1517	278
845	1519	276
846	1520	274
847	1521	272
848	1523	270
849	1524	269
850	1526	267
851	1527	265
852	1529	263
853	1530	261
854	1532	259
855	1533	257
856	1534	256
857	1535	254
858	1537	252
859	1538	250
860	1539	248
861	1540	246
862	1542	244
863	1543	242
864	1544	241
865	1545	239
866	1546	237
867	1547	235
868	1549	233
869	1550	231
870	1552	229
871	1553	228
872	1554	226
873	1556	224
874	1557	222
875	1559	220
876	1560	218
877	1562	217
878	1563	215
879	1565	213
880	1567	211
881	1568	209
882	1570	208
883	1571	206
884	1573	204
885	1574	202
886	1575	200
887	1577	198
888	1578	197
889	1580	195
890	1581	193
891	1582	191
892	1584	189
893	1585	187
894	1586	186
895	1588	184
896	1589	182
897	1590	180
898	1592	178
899	1593	177
900	1594	175
901	1595	173
902	1596	171
903	1598	169
904	1599	167
905	1600	166
906	1601	164
907	1603	162
908	1604	160
909	1605	158
910	1607	157
911	1608	155
912	1609	153
913	1611	151
914	1612	149
915	1613	147
916	1614	146
917	1615	144
918	1616	142
919	1617	140
920	1619	138
921	1620	137
922	1621	135
923	1622	133
924	1623	131
925	1624	129
926	1626	128
927	1627	126
928	1628	124
929	1629	122
930	1631	120
931	1632	119
932	1633	117
933	1634	115
934	1635	113
935	1637	111
936	1638	110
937	1639	108
938	1641	106
939	1642	104
940	1643	103
941	1644	101
942	1646	99
943	1647	97
944	1648	95
945	1650	94
946	1654	92
947	1659	91
948	1663	89
949	1666	87
950	1668	85
951	1671	84
952	1674	82
953	1676	80
954	1678	79
955	1680	77
956	1682	75
957	1684	73
958	1686	72
959	1688	70
960	1689	68
961	1691	66
962	1693	65
963	1695	63
964	1696	61
965	1697	59
966	1699	57
967	1700	56
968	1701	54
969	1703	52
970	1704	50
971	1705	49
972	1707	47
973	1708	45
974	1709	43
975	1710	42
976	1711	40
977	1713	38
978	1714	36
979	1715	35
980	1716	33
981	1718	31
982	1719	29
983	1720	27
984	1721	26
985	1722	24
986	1724	22
987	1725	20
988	1726	19
989	1728	17
990	1729	15
991	1730	13
992	1731	12
993	1733	10
994	1734	8
995	1735	6
996	1737	5
997	1738	3
998	1739	1
999	1741	0
