iter	Passed	Remaining
444	1180	1472
445	1184	1470
446	1186	1467
447	1188	1464
448	1191	1462
449	1194	1459
450	1196	1455
451	1198	1453
452	1200	1449
453	1202	1445
454	1206	1444
455	1207	1441
456	1209	1436
457	1210	1432
458	1214	1431
459	1216	1427
460	1218	1424
461	1219	1420
462	1222	1417
463	1224	1415
464	1226	1411
465	1229	1408
466	1231	1405
467	1232	1401
468	1237	1400
469	1239	1397
470	1240	1393
471	1244	1392
472	1246	1388
473	1248	1385
474	1250	1382
475	1253	1379
476	1255	1376
477	1257	1373
478	1259	1370
479	1261	1366
480	1262	1362
481	1267	1361
482	1268	1357
483	1269	1353
484	1271	1349
485	1274	1348
486	1276	1344
487	1277	1340
488	1278	1336
489	1281	1333
490	1283	1330
491	1284	1326
492	1286	1322
493	1287	1318
494	1289	1315
495	1290	1311
496	1291	1307
497	1294	1304
498	1296	1301
499	1298	1298
500	1299	1294
501	1300	1290
502	1301	1286
503	1305	1284
504	1306	1281
505	1308	1277
506	1310	1274
507	1312	1271
508	1314	1268
509	1316	1264
510	1317	1261
511	1319	1257
512	1321	1254
513	1323	1251
514	1326	1249
515	1328	1245
516	1329	1241
517	1330	1237
518	1331	1234
519	1335	1232
520	1336	1229
521	1338	1225
522	1340	1222
523	1342	1219
524	1344	1216
525	1346	1213
526	1348	1210
527	1349	1206
528	1351	1203
529	1353	1200
530	1356	1198
531	1357	1194
532	1359	1191
533	1360	1187
534	1364	1185
535	1365	1182
536	1366	1178
537	1368	1174
538	1369	1171
539	1371	1168
540	1373	1165
541	1375	1161
542	1376	1158
543	1378	1155
544	1379	1151
545	1380	1148
546	1383	1145
547	1385	1142
548	1387	1139
549	1388	1135
550	1389	1132
551	1390	1128
552	1393	1126
553	1395	1123
554	1397	1120
555	1398	1116
556	1400	1114
557	1403	1111
558	1404	1107
559	1405	1104
560	1407	1101
561	1409	1098
562	1410	1094
563	1413	1092
564	1418	1092
565	1420	1089
566	1424	1087
567	1426	1085
568	1427	1081
569	1429	1078
570	1431	1075
571	1434	1073
572	1435	1069
573	1437	1066
574	1439	1063
575	1440	1060
576	1442	1057
577	1446	1055
578	1447	1052
579	1448	1049
580	1450	1045
581	1451	1042
582	1455	1041
583	1456	1037
584	1458	1034
585	1459	1030
586	1461	1028
587	1463	1025
588	1464	1022
589	1466	1018
590	1468	1016
591	1469	1012
592	1470	1009
593	1474	1007
594	1477	1005
595	1478	1002
596	1479	999
597	1481	995
598	1487	995
599	1489	992
600	1491	990
601	1494	988
602	1496	985
603	1498	982
604	1500	979
605	1501	976
606	1507	975
607	1509	972
608	1510	970
609	1512	967
610	1515	964
611	1517	962
612	1519	959
613	1521	956
614	1523	953
615	1525	950
616	1526	947
617	1528	944
618	1530	942
619	1532	939
620	1538	939
621	1540	936
622	1546	935
623	1549	933
624	1550	930
625	1553	927
626	1555	925
627	1557	922
628	1559	919
629	1561	916
630	1562	913
631	1565	911
632	1568	909
633	1570	906
634	1571	903
635	1572	900
636	1575	898
637	1577	895
638	1579	892
639	1581	889
640	1584	887
641	1586	884
642	1587	881
643	1589	878
644	1591	876
645	1598	875
646	1600	873
647	1604	871
648	1606	868
649	1609	866
650	1610	863
651	1612	860
652	1614	858
653	1616	855
654	1619	852
655	1624	852
656	1626	849
657	1629	846
658	1631	844
659	1635	842
660	1638	840
661	1642	838
662	1644	835
663	1647	833
664	1652	832
665	1657	831
666	1660	828
667	1663	826
668	1667	824
669	1670	822
670	1672	819
671	1673	816
672	1681	816
673	1683	814
674	1686	812
675	1689	809
676	1690	806
677	1692	803
678	1694	801
679	1696	798
680	1698	795
681	1701	793
682	1704	791
683	1706	788
684	1709	785
685	1712	783
686	1714	780
687	1717	779
688	1719	776
689	1721	773
690	1722	770
691	1725	767
692	1727	765
693	1728	762
694	1729	759
695	1731	756
696	1733	753
697	1734	750
698	1739	749
699	1741	746
700	1742	743
701	1744	740
702	1748	738
703	1751	736
704	1752	733
705	1755	730
706	1758	728
707	1759	725
708	1761	723
709	1763	720
710	1765	717
711	1770	716
712	1772	713
713	1774	710
714	1777	708
715	1780	706
716	1781	703
717	1783	700
718	1786	698
719	1788	695
720	1789	692
721	1791	689
722	1793	687
723	1794	684
724	1801	683
725	1803	680
726	1805	677
727	1808	675
728	1810	673
729	1812	670
730	1813	667
731	1816	664
732	1817	662
733	1819	659
734	1820	656
735	1822	653
736	1823	650
737	1825	648
738	1830	646
739	1832	643
740	1833	640
741	1837	638
742	1840	636
743	1841	633
744	1843	631
745	1846	628
746	1849	626
747	1850	623
748	1852	620
749	1854	618
750	1857	615
751	1862	614
752	1863	611
753	1868	609
754	1871	607
755	1873	604
756	1878	603
757	1880	600
758	1885	598
759	1887	596
760	1889	593
761	1891	590
762	1893	588
763	1902	587
764	1903	584
765	1906	582
766	1909	580
767	1912	577
768	1914	575
769	1916	572
770	1919	570
771	1923	568
772	1925	565
773	1926	562
